comments,label
"此文在于总结缺陷.目的为希望大家针对这些缺陷可以研究相应对策弥补.希望未来的se可以更完美发展.绝不在于泼那些预购小8的朋友之冷水.而是希望给大家提供一个理性化的对比.众所周知.瑕不掩瑜.小8的美丽外形,专业音乐播放,媲美数码相机,以及个性化的主题diy.绝对可以使以下这些小缺陷小而不见.因此,此文定为:鸡蛋里的骨头... ",1
令人感动的，不是行文中的文字，而是这些文字组合起来的故事。人生，经历了如此多的变故，蜕变成沧桑的脊背与老牛相依为命。是乐观？不尽然。只是一种状态，一种活着的状态，没有评判，只有叙述，过去的终将过去，悲伤着继续还是真实地回忆？没有谁能主宰一切，没有谁不能承受生命中的变故，只是，经历过之后，你能否依然挺起脊梁去迎接斑斓的阳光和寂静的黑夜……,1
1.高硬度的塑料翻盖不仅具备较佳的耐磨性，对“脆弱”的触摸屏也起了很好的保护作用,1
作为一名“白骨精”，我不得不佩服作者入木三分的刻画，不仅精准地描绘出我们的生活画面，更深刻地揭露了我们内心的挣扎与困顿。确实，是一部当代白骨精们的写照！写出了职场的竞争，写出了雇佣与被雇佣的现实。笔锋平实，清澈，是好作品。看着看着，便感觉自己也渐渐地深入到这个故事中，和你一起在职场中打拼，在感情中沉浮。泪，也一次又一次地润了眼眶……,1
看了，没什么兴趣再看，搞不懂这本书的定位,0
一个同事向我推荐这本书，于是我满怀希望地跟当当订货，结果苦等了两周之后，寄来的东西根本不是这本书，他们又一次把货发错了，我退货之后至今仍未收到那本书，相当的郁闷啊！,0
本来是想买回来送好朋友的，可是翻开一看，内容也太简单了，就是画了些小汽车，小动物什么的，就退货了。,0
之前看到很多评论，说很好兴冲冲买了，看了看感觉非常失望炒作的成分大，实用的少作者吹嘘自己的故事占了这书的小一半感觉就是炒出来的，不建议买网上看看他的博客就好了,0
没有收音机功能！遗憾！！！！,0
"总体来说还不错，就是卫生间设施差了点,要什么没什么.还有就是办理会员卡好象要价太贵了.至少我所知的格林豪泰是免费办理的.",1
