r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1,0,2057048,629984,4008,2295252,0,1,808,645,22,9,3,2,95,0,0
1,0,2057048,596716,4008,2292240,0,0,0,0,0,0,0,0,100,0,0
1,0,2056792,592396,4008,2292360,0,0,0,0,0,0,0,0,100,0,0
1,0,2056792,519488,4008,2365532,0,0,0,0,0,0,0,0,100,0,0
1,0,2048088,134716,4008,2791200,0,0,0,0,0,0,0,0,100,0,0
1,0,2048088,182008,4008,2791708,0,0,0,0,0,0,0,0,100,0,0
1,0,2048088,183280,4008,2792520,0,0,0,0,0,0,0,0,100,0,0
1,0,2047576,188024,4008,2792524,0,0,0,0,0,0,0,0,100,0,0
1,0,2047576,159344,4008,2793288,0,0,0,0,0,0,0,0,100,0,0
1,0,2047576,169844,4004,2745864,0,0,0,0,0,0,0,0,100,0,0
1,0,2047576,168712,4004,2747752,0,0,0,0,0,0,0,0,100,0,0
1,0,2047576,687100,4004,2229584,0,0,0,0,0,0,0,0,100,0,0
1,0,2047576,636756,3984,2233908,0,0,0,0,0,0,0,0,100,0,0
1,0,2047832,624772,3984,2241760,0,0,0,0,0,0,0,0,100,0,0
1,0,2047832,606060,3980,2251964,0,0,0,0,0,0,0,0,100,0,0
1,0,2047832,587080,3980,2263596,0,0,0,0,0,0,0,0,100,0,0
1,0,2047832,563420,3980,2280124,0,0,0,0,0,0,0,0,100,0,0
1,0,2047832,558284,3980,2290320,0,0,0,0,0,0,0,0,100,0,0
1,0,2035544,570456,3980,2290624,0,0,0,0,0,0,0,0,100,0,0
1,0,2035544,570628,3980,2291232,0,0,0,0,0,0,0,0,100,0,0
1,0,2035544,570872,3980,2291232,0,0,0,0,0,0,0,0,100,0,0
1,0,2035544,570896,3980,2291232,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,568148,3980,2291256,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,575708,3980,2291088,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,587608,3980,2278180,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,604356,3980,2263356,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,625684,3980,2249668,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,639964,3980,2236036,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,671376,3980,2215356,0,0,0,0,0,0,0,0,100,0,0
1,0,2035032,659076,3980,2225612,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,653372,3980,2234280,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,640244,3976,2243000,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,636368,3968,2251748,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,623048,3952,2259492,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,607808,3952,2272344,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,583236,3952,2286612,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,577980,3944,2287920,0,0,0,0,0,0,0,0,100,0,0
1,0,2034776,576432,3944,2287380,0,0,0,0,0,0,0,0,100,0,0
1,0,2034520,581828,3944,2287124,0,0,0,0,0,0,0,0,100,0,0
1,0,2034520,581028,3944,2287496,0,0,0,0,0,0,0,0,100,0,0
1,0,2034520,581340,3944,2286896,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,584260,3944,2283012,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,614840,3944,2270856,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,674736,3944,2214076,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,692824,3944,2200668,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,713124,3944,2185640,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,727628,3944,2170780,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,726456,3944,2168040,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,725700,3944,2168040,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,732436,3944,2168068,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,730672,3944,2168068,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,735036,3944,2168068,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,731984,3944,2168068,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,727652,3944,2168084,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,726176,3944,2168084,0,0,0,0,0,0,0,0,100,0,0
1,0,2034008,729976,3944,2168820,0,0,0,0,0,0,0,0,100,0,0
1,0,2033240,732400,3944,2168868,0,0,0,0,0,0,0,0,100,0,0
